Infraccio_Codi Infraccio_Desc_Curta_CA Infraccio_Desc_Curta_ES Infraccio_Desc_Llarga_CA Infraccio_Desc_Llarga_ES Normativa Import_Nominal_€ Tipus_Infraccio Punts_A_Retirar 
1100 CIRCUL_VEH_NO_AUTORITZ_PER_CARRIL_RESERV CIRCUL_VEH_NO_AUTORIZ_POR_CARRIL_RESERV Circular_vehicles_no_autoritzats_per_carril_reservat_(_BUS_/_taxi_)_(_vehicles_de_dues_rodes_). - OCVV 90 M 0 
1101 PARADA_FORA_LLOC_ESTABLERT_TRANSPORT_REGULAR/DISCRECIONAL PARADA_FUERA_LUGAR_ESTABLECIDO_TRANS_REGULAR/DISCRECIONAL Fer_parades_de_transport_public_de_linia_regular_o_discrecional_sense_autoritzacio_o_fora_dels_llocs_establerts. - OCVV 200 E 0 
1104 CIRCUL_VEH_NO_AUTORITZ_PER_CARRIL_RESERV CIRCUL_VEH_NO_AUTORIZ_POR_CARRIL_RESERV Circular_vehicles_no_autoritzats_per_carril_reservat_(_BUS_/_taxi_) - OCVV 90 M 0 
1105 NO_EFECTUAR_CANVI_DE_NOM_RESERVA_ESTACIONAMENT NO_EFECTUAR_CAMBIO_NOMBRE_RESERVA_ESTAC No_fer_el_canvi_de_nom,_ampliacio,_reduccio_o_trasllat_de_la_llicencia_de_la_reserva_d&#8217,estacionament. - OCVV 60 E 0 
1106 MODIF/TRASLLAT_RESERV_ESTAC_SENSE_PERMIS MODIF/TRASLADO_RESERV_ESTAC_SIN_PERMISO Ampliacio,_reduccio_i/o_trasllat_de_la_reserva_d'estacionament_i_de_l'estacionament_prohibit_sense_autoritzacio. - OCVV 150 E 0 
1107 EFECTUAR_PARADA_EN_GUAL_D'US_PUBLIC EFECTUAR_PARADA_EN_VADO_DE_USO_PUBLICO Parar_en_guals_d'us_public. - OCVV 30 E 0 
1109 ESTACIONAMENT_PROHIBIT_CARRIL_MULTIUS ESTAC_PROHIBIDO_CARRIL_MULTIUSO Estacionar_alla_on_ho_prohibeix_el_senyal_corresponent,_carril_multius - OCVV 60 E 0 
1110 ESTACIONAR_VEHICLE_PER_VENDA_O_LLOGUER ESTACIONAR_VEHICULO_PARA_VENTA/ALQUILER Estacionar_vehicles_a_la_via_publica_per_a_la_seva_venda_o_lloguer - OCVV 90 E 0 
1111 ESTACIONAR_VEHICLE_AMB_FI_PUBLICITARI ESTACIONAR_VEHICULO_CON_FIN_PUBLICITARIO Estacionar_vehicles_a_la_via_publica_amb_finalitats_fonamentalment_publicitaries - OCVV 90 E 0 
1112 EXCEDIR_TEMPS_DE_PARADA_TRANSPORT_REGULAR/DISCRECIONAL EXCEDER_TIEMPO_DE_PARADA_TRANSPORT_REGULAR/DISCRECIONAL Fer_parades_de_transport_public_de_linia_regular_o_discrecional_sense_ajustar-se_al_temps_autoritzat. - OCVV 200 E 0 
1114 ESTACIONAR_EN_ZONA_BLAVA_SENSE_ACREDITACIO_VALIDA ESTACIONAR_EN_ZONA_AZUL_SIN_ACREDITACION_VALIDA (Zona_Blava)_Fer_us_d'una_targeta_no_expedida_per_l'administracio_(us_de_fotocopia,_reproduccio)_als_efectes_de_gaudir_en_zona_blava_de_les_facultats_d'estacionament_reservades_a_persones_amb_mobilitat_reduida/diversitat_funcional - OCVV 50 E 0 
1115 ESTACIONAR_CARREGA/DESCARREGA_SENSE_ACREDITACIO_VALIDA ESTACIONAR_CARGA/DESCARGA_SIN_ACREDITACION_VALIDA (Zona_carrega/descarrega)_Fer_us_d'una_targeta_no_expedida_per_l'administracio_(us_de_fotocopia,_reproduccio)_als_efectes_de_gaudir_de_les_facultats_d'estacionament_per_persones_amb_mobilitat_reduida/diversitat_funcional_en_zona_de_carrega_i_descarrega - OCVV 60 E 0 
1116 ESTACIONAR_EN_ZONA_DISCAPACITATS_SENSE_ACREDITACIO_VALIDA ESTACIONAR_EN_ZONA_DISCAPACITADOS_SIN_ACREDITACION_VALIDA (Zona_reserv._pers._mobilitat_reduida)_Fer_us_targeta_no_expedida_per_administr_(us_fotocopia,_reproduc)_als_efectes_de_gaudir_facultats_estacionament_per_persones_amb_mobilitat_reduida/diversitat_funcional_en_zona_reservada_a_persones_mobilitat_reduida - OCVV 100 E 0 
1117 ESTACIONAR_ZONA_RESERVADA_SENSE_ACREDITACIO_VALIDA ESTACIONAR_ZONA_RESERVADA_SIN_ACREDITACION_VALIDA (Zona_reservada_altres_usuaris)_Fer_us_d'una_targeta_no_expedida_per_administracio_(us_de_fotocopia,_reproduccio)_als_efectes_de_gaudir_de_facultats_d'estacionament_per_persones_amb_mobilitat_reduida/diversitat_funcional_en_zona_reservada_a_altres_usuaris - OCVV 90 E 0 
1120 PARAR_SOBRE_CARRILS_TRAMVIA/FERROCARRIL PARAR_SOBRE_RAILES_TRANVIA/FERROCARRIL Parar_sobre_rails_de_tramvia_o_ferrocarril. - OCVV 70 E 0 
1121 PARAR_PROP_REBAIX_VORERA_PER_A_PERSONA_AMB_DISCAPACITAT PARAR_CERCA_REBAJE_ACERA_PARA_PERSONA_CON_DISCAPACIDAD Parar_al_costat_de_rebaixos_de_les_voreres_per_a_persones_amb_mobilitat_reduida/diversitat_funcional_. - OCVV 30 E 0 
1122 PARAR_DIFICULTANT_LA_CIRCULACIO PARAR_DIFICULTANDO_LA_CIRCULACION Parar_obstaculitzant_la_circulacio - OCVV 60 E 0 
1123 CIRCULAR_BICICLETA/VMP/CICLE_PER_CARRIL_RESERVAT_BUS_TAXI CIRCULAR_BICICLETA/VMP/CICLO_POR_CARRIL_RESERVADO_BUS_TAXI Circular_bicicleta_/_VMP_/_cicle_de_mes_de_dues_rodes_per_carril_reservat_(BUS/Taxi) Circular_bicicleta_/_VMP_/_ciclo_de_mas_de_dos_ruedas_por_carril_reservado_(BUS/Taxi) OCVV 90 M 0 
1124 ESTAC_PROP_VORADA_IMPEDINT_FEINES_NETEJA ESTAC_CERCA_ACERA_IMPIDIEN_FAENAS_LIMPIE Estacionar_tan_a_prop_de_la_vorada_que_s'impedeixin_els_treballs_de_neteja. - OCVV 60 E 0 
1125 ESTACIONAR_IMPEDINT_LA_CIRCULACIO ESTACIONAR_IMPIDIENDO_LA_CIRCULACION Estacionar_de_manera_que_no_permeti_la_circulacio_en_la_resta_d'espai_disponible. - OCVV 90 E 0 
